,,,,,,,,,,Steps,Population,Births,Deaths,Marriages,Laborers,,,Migrants
30,370,0,1,1,159,24,93,77,,900,393.7,57,32.26666667,18.7,115.8666667,38.4,95.63333333,95.73333333
36,371,1,0,0,160,25,92,77,,906,393.9666667,57.5,32.46666667,18.93333333,115.6666667,38.26666667,95.73333333,95.73333333
36,370,0,1,0,160,25,92,76,,912,394.0666667,57.83333333,32.7,19.03333333,115.5333333,38.2,95.7,95.63333333
36,370,0,1,0,158,25,92,78,,918,394.2333333,58.16666667,32.86666667,19.23333333,115.2666667,38,95.83333333,95.7
36,371,0,0,0,159,25,92,78,,924,394.4,58.5,33.03333333,19.53333333,114.9666667,37.83333333,96,95.83333333
36,372,1,0,1,163,27,93,74,,930,394.6666667,59,33.26666667,19.6,114.5,37.76666667,95.96666667,96.1
36,368,0,3,0,157,27,89,77,,936,394.9666667,59.53333333,33.5,19.66666667,114.1333333,37.83333333,95.93333333,96.23333333
36,371,0,0,1,161,25,93,76,,942,395.2666667,60.1,33.76666667,19.73333333,113.7333333,37.83333333,95.86666667,96.33333333
36,370,0,0,1,158,24,93,79,,948,395.3,60.36666667,33.96666667,19.76666667,113.4333333,37.83333333,95.76666667,96.43333333
36,369,0,1,0,160,26,92,76,,954,395.2666667,60.7,34.33333333,19.93333333,117.1666667,38.46666667,95.73333333,96.43333333
36,370,0,1,0,157,25,92,79,,960,395.3666667,61,34.53333333,19.96666667,116.9333333,38.43333333,95.56666667,96.46666667
36,369,0,2,0,160,26,92,75,,966,395.4333333,61.3,34.76666667,20.06666667,116.6,38.4,95.56666667,96.6
36,370,0,1,0,160,25,92,76,,972,395.8666667,61.8,34.83333333,20.23333333,116.2666667,38.23333333,95.7,96.86666667
36,368,0,3,1,158,25,90,76,,978,395.9333333,62.16666667,35.13333333,20.46666667,115.9,38,95.8,96.96666667
36,371,0,0,1,160,24,93,77,,984,396.0333333,62.5,35.36666667,20.6,115.5666667,37.9,95.86666667,97.06666667
36,369,0,2,0,156,25,92,79,,990,396.1,62.7,35.5,20.66666667,115.4666667,37.9,95.8,97
36,370,0,1,1,159,24,93,77,,996,396.3,63.06666667,35.63333333,20.7,115.0666667,37.93333333,95.7,97.23333333
36,371,1,1,0,161,26,91,75,,1002,396.5333333,63.53333333,35.86666667,20.8,114.8,38,95.73333333,97.23333333
36,370,0,0,0,158,25,92,79,,1008,396.6666667,63.76666667,35.96666667,20.83333333,114.6333333,38.1,95.7,97.26666667
