HH_ID,Question_I,Frequency,latitude,longitude,x,y,,Question,Frequency_,,House,House,House,House,House,House,,HH_ID,2_2_i,HH_ID,2_2_ii,,,,
48,Other,0.5,27.99,108.771,85,75,,8.4i-g,3,,"108,46,21.923","27,59,24.601",108.7727564,27.99016694,85,72,,137,"108,47,23.570",137,"27,59,17.211",108.7898806,27.98811417,84,82
49,Fuelwood,6.666666667,27.989,108.775,85,76,,8.4i-a,40,,"108,46,22.453","27,59,26.247",108.7729036,27.99062417,85,72,,138,"108,46,56.916",138,"27,58,48.428",108.7824767,27.98011889,81,77
49,Fodder,3.333333333,27.9928,108.771,86,75,,8.4i-e,20,,"108,46,22.453","27,59,26.247",108.7729036,27.99062417,85,72,,139,"108,46,53.004",139,"27,58,47.760",108.78139,27.97993333,81,77
49,Bamboo,0.666666667,27.9911,108.773,85,75,,8.4i-c,4,,"108,46,22.453","27,59,26.247",108.7729036,27.99062417,85,72,,140,"108,46,54.506",140,"27,58,47.585",108.7818072,27.97988472,81,77
53,Fuelwood,3.333333333,27.9849,108.771,83,75,,8.4i-a,20,,"108,46,29.473","27,59,16.022",108.7748536,27.98778389,84,73,,142,"108,46,59.904",142,"27,59,48.351",108.7833067,27.99676417,87,78
53,Fodder,5,27.988,108.775,84,76,,8.4i-e,30,,"108,46,29.473","27,59,16.022",108.7748536,27.98778389,84,73,,143,"108,46,55.589",143,"27,58,49.360",108.7821081,27.98037778,81,77
54,Fuelwood,5,27.9878,108.771,84,75,,8.4i-a,30,,"108,46,25.191","27,59,18.770",108.7736642,27.98854722,84,72,,144,"108,46,54.280",144,"27,58,47.894",108.7817444,27.97997056,81,77
54,Bamboo,1.666666667,27.987,108.769,84,74,,8.4i-c,10,,"108,46,25.191","27,59,18.770",108.7736642,27.98854722,84,72,,145,"108,46,52.720",145,"27,58,46.786",108.7813111,27.97966278,81,77
54,Fodder,5,27.9884,108.773,84,75,,8.4i-e,30,,"108,46,25.191","27,59,18.770",108.7736642,27.98854722,84,72,,146,"108,46,53.376",146,"27,58,47.914",108.7814933,27.97997611,81,77
55,Fuelwood,5,27.9869,108.77,84,74,,8.4i-a,30,,"108,46,24.570","27,559,24.630",108.7734917,27.92350833,60,72,,148,"108,46,53,577",148,"27,58,24.483",123.6491667,27.9734675,79,8823
55,Bamboo,0.5,27.977,108.751,80,68,,8.4i-c,3,,"108,46,24.570","27,559,24.630",108.7734917,27.92350833,60,72,,149,"108,46,51.325",149,"27,58,23.853",108.7809236,27.9732925,78,77
57,Fuelwood,2.5,27.9851,108.772,83,75,,8.4i-a,15,,"108,46,25.284","27,59,24.341",108.77369,27.99009472,85,72,,150,"108,46,50.662",150,"27,58,24.126",108.7807394,27.97336833,79,76
57,Bamboo,0.166666667,27.9849,108.772,83,75,,8.4i-c,1,,"108,46,25.284","27,59,24.341",108.77369,27.99009472,85,72,,151,"108,46,50.557",151,"27,58,23.727",108.7807103,27.9732575,78,76
57,Mushrooms,0.166666667,27.9977,108.771,88,75,,8.4i-d,1,,"108,46,25.284","27,59,24.341",108.77369,27.99009472,85,72,,153,"108,46,53.384",153,"27,58,26.735",108.7814956,27.97409306,79,77
57,Fodder,1.333333333,27.9893,108.773,85,75,,8.4i-e,8,,"108,46,25.284","27,59,24.341",108.77369,27.99009472,85,72,,154,"108,46,52.459",154,"27,58,25.627",108.7812386,27.97378528,79,77
63,Fodder,6.666666667,27.9844,108.68,83,44,,8.4i-e,40,,"108,40,48.381","27,59,04.956",108.6801058,27.98471,83,17,,155,"108,46,54.511",155,"27,58,28.519",108.7818086,27.97458861,79,77
63,Fuelwood,5,27.9836,108.679,83,43,,8.4i-a,30,,"108,40,48.381","27,59,04.956",108.6801058,27.98471,83,17,,157,"108,46,54.782",157,"27,58,28.168",108.7818839,27.97449111,79,77
64,Fuelwood,3.333333333,27.9788,108.678,81,43,,8.4i-a,20,,"108,40,42.464","27,58,58.698",108.6784622,27.98297167,82,16,,159,"108,46,47.805",159,"27,58,21.608",108.7799458,27.97266889,78,76
64,Fodder,5,27.9832,108.678,82,43,,8.4i-e,30,,"108,40,42.464","27,58,58.698",108.6784622,27.98297167,82,16,,160,"108,46,52.861",160,"27,58,26.813",108.7813503,27.97411472,79,77
71,Fuelwood,0.833333333,27.9813,108.677,82,43,,8.4i-a,5,,"108,40,39.881","27,58,58.624",108.6777447,27.98295111,82,16,,161,"108,46,51.839",161,"27,58,24.681",108.7810664,27.9735225,79,77
72,Fuelwood,2.5,27.9823,108.679,82,43,,8.4i-a,15,,"108,40,40.559","27,58,59.158",108.6779331,27.98309944,82,16,,163,"108,46,54.053",163,"27,58,27.603",108.7816814,27.97433417,79,77
72,Fodder,5,27.9824,108.678,82,43,,8.4i-e,30,,"108,40,40.559","27,58,59.158",108.6779331,27.98309944,82,16,,165,"108,46,54.625",165,"27,58,27.499",108.7818403,27.97430528,79,77
85,Fodder,3.333333333,27.9861,108.68,84,44,,8.4i-e,20,,"108,40,46.795","27,59,07.863",108.6796653,27.9855175,83,17,,166,"108,46,54.758",166,"27,48,28.692",108.7818772,27.80797,17,77
85,Fuelwood,2.5,27.9814,108.679,82,43,,8.4i-a,15,,"108,40,46.795","27,59,07.863",108.6796653,27.9855175,83,17,,167,"108,46,54.808",167,"27,58,28.789",108.7818911,27.97466361,79,77
100,Fuelwood,4.166666667,27.9837,108.68,83,44,,8.4i-a,25,,"108,40,48.455","27,59,06.998",108.6801264,27.98527722,83,17,,168,"108,46,54,846",168,"27,58,27,453",124.0016667,35.5925,2900,9030
101,Fuelwood,0.833333333,27.9749,108.668,79,40,,8.4i-a,5,,"108,39,59.483","27,58,43.505",108.6665231,27.97875139,81,9,,169,"108,46,52.565",169,"27,58,26.267",108.7812681,27.97396306,79,77
101,Herbs,0.833333333,27.9674,108.681,77,44,,8.4i-b,5,,"108,39,59.483","27,58,43.505",108.6665231,27.97875139,81,9,,,,,,,,,
101,Fodder,0.333333333,27.9795,108.667,81,39,,8.4i-e,2,,"108,39,59.483","27,58,43.505",108.6665231,27.97875139,81,9,,,,,,,,,
102,Fuelwood,0.666666667,27.9743,108.669,79,40,,8.4i-a,4,,"108,40,00.366","27,58,45.697",108.6667683,27.97936028,81,9,,,,,,,,,
102,Herbs,0.333333333,27.9747,108.67,79,40,,8.4i-b,2,,"108,40,00.366","27,58,45.697",108.6667683,27.97936028,81,9,,,,,,,,,
103,Fuelwood,0.666666667,27.9743,108.67,79,40,,8.4i-a,4,,"108,40,00.342","27,58,46.534",108.6667617,27.97959278,81,9,,,,,,,,,
103,Herbs,0.333333333,27.9717,108.67,78,40,,8.4i-b,2,,"108,40,00.342","27,58,46.534",108.6667617,27.97959278,81,9,,,,,,,,,
104,Fuelwood,5,27.9759,108.669,80,40,,8.4i-a,30,,"108,39,59.495","27,58,45.137",108.6665264,27.97920472,81,9,,,,,,,,,
108,Fuelwood,5,27.9801,108.669,81,40,,8.4i-a,30,,"108,39,58.543","27,58,46.090",108.6662619,27.97946944,81,9,,,,,,,,,
108,Mushrooms,0.333333333,27.9781,108.669,81,40,,8.4i-d,2,,"108,39,58.543","27,58,46.090",108.6662619,27.97946944,81,9,,,,,,,,,
113,Fuelwood,1.666666667,27.9787,108.664,81,38,,8.4i-a,10,,"108,39,57.681","27,58,44.977",108.6660225,27.97916028,81,9,,,,,,,,,
113,Bamboo,0.166666667,27.9788,108.666,81,39,,8.4i-c,1,,"108,39,57.681","27,58,44.977",108.6660225,27.97916028,81,9,,,,,,,,,
113,Mushrooms,0.333333333,27.977,108.667,80,39,,8.4i-d,2,,"108,39,57.681","27,58,44.977",108.6660225,27.97916028,81,9,,,,,,,,,
