HH_ID,Gender_1,Gender_2,Gender_3,Gender_4,Gender_5,Gender_6,Gender_7,Gender_8,Gender_9,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Education_1,Education_2,Education_3,Education_4,Education_5,Education_6,Education_7,Education_8,Education_9,Marriage_1 ,Marriage_2,Marriage_3,Marriage_4,Marriage_5,Marriage_6,Marriage_7,Marriage_8,Marriage_9,migration_network,Mig_age,Mig_gender,Mig_marriage ,Mig_education, Mig_year,Rice_paddles_mu,Rice_paddles_GTGP_mu,Dry_land_mu,Dry_land_GTGP_mu,Other_business_cash_last_yr,Mig_remittances,Other_labor_cash_last_yr,Social_gift_cash_last_yr,OX_cash_last_yr,Pig_cash_last_yr,Poultry_cash_last_yr,livestock_cash_last_yr,Ranger_yuan,Retirement_cash_last_yr,local_income_off_farm,Bank_loan_cash_last_yr,NonInstitute_loan_cash_last_yr
71,1,2,-3,-3,-3,-3,-3,-3,-3,68,68,-3,-3,-3,-3,-3,-3,-3,0,0,-3,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,-3,-3,-3,-3,1,25,1,6,9,8,1.5,0,1.6,0.2,0,2000,-2,0,0,0,0,0,0,1680,1678,90000,67000
72,1,2,-3,-3,-3,-3,-3,-3,-3,65,61,-3,-3,-3,-3,-3,-3,-3,0,0,-3,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,-3,-3,-3,-3,1,27,1,1,8,10,-4,-4,1.5,0.5,0,0,22000,0,0,0,0,0,0,840,22840,70000,3
79,2,1,2,2,-3,-3,-3,-3,-3,53,49,23,1,-3,-3,-3,-3,-3,0,8,8,-3,-3,-3,-3,-3,-3,1,1,1,6,-3,-3,-3,-3,-3,1,25,1,1,10,3,1.5,0,2.5,2,0,0,0,0,0,0,0,0,0,0,0,40000,-3
81,1,2,-3,-3,-3,-3,-3,-3,-3,62,54,-3,-3,-3,-3,-3,-3,-3,4,0,-3,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,0,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,-3,10000
85,1,2,2,-3,-3,-3,-3,-3,-3,65,63,16,-3,-3,-3,-3,-3,-3,0,0,11,-3,-3,-3,-3,-3,-3,1,1,6,-3,-3,-3,-3,-3,-3,1,37,1,1,6,6,1.33,0,5,2,0,200,0,0,0,0,0,0,0,680,680,-3,-3
89,2,-3,-3,-3,-3,-3,-3,-3,-3,12,-3,-3,-3,-3,-3,-3,-3,-3,6,-3,-3,-3,-3,-3,-3,-3,-3,6,-3,-3,-3,-3,-3,-3,-3,-3,1,43,2,1,3,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,-3,180000
91,1,1,2,2,-3,-3,-3,-3,-3,69,44,68,17,-3,-3,-3,-3,-3,6,8,3,11,-3,-3,-3,-3,-3,1,1,1,6,-3,-3,-3,-3,-3,1,31,1,6,12,6,5,0,4,2.5,0,5000,20000,0,0,0,0,0,0,0,20000,20000,40000
100,2,-3,-3,-3,-3,-3,-3,-3,-3,52,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,5,-3,-3,-3,-3,-3,-3,-3,-3,1,26,1,6,8,6,3,0,2,0.4,0,0,0,0,0,0,0,0,0,#REF!,0,-2,-2
101,2,1,-3,-3,-3,-3,-3,-3,-3,48,1,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,1,6,-3,-3,-3,-3,-3,-3,-3,1,38,2,1,8,1,2.5,0.2,1.2,1,15000,0,0,0,0,0,0,0,100,0,15100,0,20000
102,1,1,1,-3,-3,-3,-3,-3,-3,45,16,15,-3,-3,-3,-3,-3,-3,4,1,8,-3,-3,-3,-3,-3,-3,1,6,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,2.5,0.2,2,1,3000,0,0,0,0,0,0,0,0,0,3000,-3,5000
103,1,2,-3,-3,-3,-3,-3,-3,-3,41,40,-3,-3,-3,-3,-3,-3,-3,5,1,-3,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,-3,-3,-3,-3,1,22,1,6,7,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-3,15000
104,1,-3,-3,-3,-3,-3,-3,-3,-3,57,-3,-3,-3,-3,-3,-3,-3,-3,6,-3,-3,-3,-3,-3,-3,-3,-3,5,-3,-3,-3,-3,-3,-3,-3,-3,1,37,1,1,9,6,6,3,4,2,0,0,0,0,0,0,0,0,0,0,0,-3,700
108,1,2,-3,-3,-3,-3,-3,-3,-3,73,73,-3,-3,-3,-3,-3,-3,-3,4,4,-3,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,-3,-3,-3,-3,1,27,1,6,9,7,4,2,1,0,0,0,0,0,0,0,0,0,0,600,600,10000,-3
109,1,-3,-3,-3,-3,-3,-3,-3,-3,64,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,5,-3,-3,-3,-3,-3,-3,-3,-3,1,40,1,1,12,1,3,2,3,0,0,0,3500,10000,0,0,0,0,#REF!,600,14100,50000,20000
113,1,2,-3,-3,-3,-3,-3,-3,-3,68,71,-3,-3,-3,-3,-3,-3,-3,1,0,-3,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,-3,-3,-3,-3,1,32,1,1,8,6,3.2,3.2,4,2,0,0,0,0,0,0,0,0,0,1200,1200,-3,-3
118,1,2,2,-3,-3,-3,-3,-3,-3,63,57,14,-3,-3,-3,-3,-3,-3,0,0,8,-3,-3,-3,-3,-3,-3,1,1,6,-3,-3,-3,-3,-3,-3,1,36,1,6,12,6,7,1.5,2.5,2.5,0,0,0,0,0,0,0,0,0,750,750,200,-3
120,1,1,-3,-3,-3,-3,-3,-3,-3,36,72,-3,-3,-3,-3,-3,-3,-3,6,0,-3,-3,-3,-3,-3,-3,-3,6,1,-3,-3,-3,-3,-3,-3,-3,1,53,1,1,8,1,2,0.8,3,2,3600,0,0,0,0,0,0,0,0,600,4200,-3,50000
121,1,2,1,-3,-3,-3,-3,-3,-3,53,51,17,-3,-3,-3,-3,-3,-3,2,0,8,-3,-3,-3,-3,-3,-3,1,1,6,-3,-3,-3,-3,-3,-3,1,26,1,6,9,7,2.8,2.3,1,1,0,0,0,0,0,0,0,0,0,0,0,-3,-3
123,1,2,1,-3,-3,-3,-3,-3,-3,63,61,25,-3,-3,-3,-3,-3,-3,4,3,9,-3,-3,-3,-3,-3,-3,1,1,6,-3,-3,-3,-3,-3,-3,1,32,1,1,9,6,4,0.33,3,0.5,0,0,0,0,0,0,0,0,0,840,840,-3,-3
128,1,2,2,-3,-3,-3,-3,-3,-3,60,61,20,-3,-3,-3,-3,-3,-3,4,0,9,-3,-3,-3,-3,-3,-3,1,1,1,-3,-3,-3,-3,-3,-3,1,32,1,1,7,6,2.5,0.25,1.2,0.5,0,0,0,0,0,0,0,0,0,800,800,40000,-3
129,1,2,-3,-3,-3,-3,-3,-3,-3,32,31,-3,-3,-3,-3,-3,-3,-3,9,6,-3,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,-3,-3,-3,-3,1,40,1,1,5,1,6,3,5,2.5,0,0,0,0,0,0,0,0,0,0,0,-3,80000
131,1,2,-3,-3,-3,-3,-3,-3,-3,73,15,-3,-3,-3,-3,-3,-3,-3,7,9,-3,-3,-3,-3,-3,-3,-3,5,6,-3,-3,-3,-3,-3,-3,-3,1,42,1,4,9,6,4,2,3,1,0,1000,0,0,0,0,0,0,0,600,600,-2,90000
132,1,-3,-3,-3,-3,-3,-3,-3,-3,75,-3,-3,-3,-3,-3,-3,-3,-3,9,-3,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,1,40,1,1,10,6,2,0.5,1.2,0.5,0,15000,0,0,0,0,0,0,0,660,660,-3,-3
133,1,1,2,2,-3,-3,-3,-3,-3,40,13,5,35,-3,-3,-3,-3,-3,9,7,-3,9,-3,-3,-3,-3,-3,1,6,6,1,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,1,0,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,-3,-3
134,1,1,1,2,2,1,2,2,2,21,76,45,42,18,18,17,15,1,9,0,4,4,12,11,10,9,-3,1,1,1,1,1,6,6,6,-3,1,37,1,1,4,6,4,1.2,2,1.2,0,0,0,0,0,0,0,0,0,840,840,-3,-3
135,1,2,-3,-3,-3,-3,-3,-3,-3,70,50,-3,-3,-3,-3,-3,-3,-3,2,0,-3,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,-3,-3,-3,-3,1,30,1,1,9,6,2.5,0.6,0.64,0,0,0,0,0,0,0,0,0,0,840,840,-3,-3
136,1,2,2,1,-3,-3,-3,-3,-3,71,70,6,2,-3,-3,-3,-3,-3,6,3,9,-3,-3,-3,-3,-3,-3,1,1,1,6,6,-3,-3,-3,-3,1,37,3,4,0,6,4.5,0,3.5,1.5,0,0,0,0,0,0,0,0,0,1200,1200,20000,-2
137,1,1,2,1,1,-3,-3,-3,-3,37,76,72,2,45,-3,-3,-3,-3,9,0,0,-3,3,-3,-3,-3,-3,1,4,1,-3,1,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,1,0,1.2,0,0,0,8000,0,0,0,0,0,0,1320,9320,-3,210
138,1,1,-3,-3,-3,-3,-3,-3,-3,51,15,-3,-3,-3,-3,-3,-3,-3,5,8,-3,-3,-3,-3,-3,-3,-3,4,6,-3,-3,-3,-3,-3,-3,-3,1,25,1,6,7,5,1,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,-3,-3
