with,,without,
62,66,58,85
61,66,58,85
63,66,61,85
63,66,62,85
64,66,62,85
64,66,62,85
25,66,60,85
25,66,60,85
25,66,58,85
66,66,59,85
65,66,60,85
65,66,60,85
65,66,62,85
54,66,66,85
63,66,66,85
64,66,66,85
63,66,66,85
55,66,66,85
54,66,66,85
53,66,61,85
53,66,60,85
63,66,60,85
56,66,60,85
48,66,60,85
58,66,60,85
58,66,60,85
58,66,60,85
61,66,64,85
63,66,60,85
47,66,66,85
47,66,64,85
62,66,59,85
39,66,59,85
56,66,65,85
59,66,66,85
50,66,67,85
66,66,69,85
56,66,66,85
41,66,59,85
46,66,58,85
40,66,58,85
51,66,59,85
56,66,66,85
59,66,52,85
60,66,59,85
59,66,66,85
58,66,59,85
58,66,56,85
57,66,57,85
57,66,57,85
57,66,54,85
40,66,58,85
40,66,57,85
41,66,56,85
43,66,67,85
44,66,67,85
44,66,60,85
44,66,65,85
43,66,58,85
40,66,59,85
35,66,60,85
35,66,60,85
46,66,56,85
66,66,56,85
52,66,67,85
54,66,68,85
44,66,61,85
64,66,62,85
47,66,66,85
64,66,65,85
61,66,64,85
47,66,65,85
55,66,65,85
53,66,57,85
45,66,67,85
57,66,68,85
46,66,69,85
49,66,71,85
50,66,71,85
58,66,64,85
51,66,49,85
45,66,57,85
44,66,50,85
55,66,53,85
59,66,66,85
52,66,66,85
57,66,64,85
58,66,64,85
54,66,66,85
63,66,66,85
56,66,66,85
57,66,66,85
58,66,58,85
54,66,56,85
41,66,57,85
61,66,57,85
61,66,59,85
55,66,58,85
61,66,58,85
57,66,58,85
65,66,58,85
59,66,58,85
62,66,58,85
47,66,58,85
48,66,58,85
61,66,55,85
47,66,53,85
66,66,62,85
44,66,49,85
48,66,55,85
56,66,61,85
62,66,66,85
40,66,66,85
40,66,66,85
40,66,63,85
55,66,55,85
59,66,55,85
52,66,57,85
51,66,57,85
59,66,57,85
59,66,58,85
60,66,51,85
62,66,56,85
62,66,60,85
61,66,58,85
61,66,58,85
50,66,53,85
49,66,51,85
47,66,51,85
47,66,56,85
28,66,56,85
28,66,56,85
48,66,59,85
47,66,59,85
28,66,57,85
29,66,58,85
29,66,58,85
28,66,59,85
28,66,66,85
45,66,67,85
47,66,67,85
45,66,59,85
45,66,58,85
27,66,57,85
28,66,58,85
45,66,58,85
44,66,59,85
44,66,56,85
43,66,55,85
44,66,57,85
53,66,55,85
57,66,55,85
58,66,54,85
52,66,54,85
40,66,54,85
56,66,54,85
58,66,54,85
58,66,54,85
59,66,54,85
48,66,62,85
63,66,63,85
54,66,61,85
50,66,61,85
41,66,61,85
52,66,61,85
49,66,61,85
53,66,61,85
58,66,63,85
42,66,66,85
57,66,60,85
50,66,59,85
50,66,59,85
60,66,55,85
51,66,55,85
65,66,54,85
64,66,66,85
62,66,67,85
63,66,68,85
62,66,68,85
65,66,55,85
65,66,61,85
63,66,60,85
62,66,52,85
63,66,57,85
63,66,57,85
64,66,56,85
58,66,58,85
58,66,61,85
58,66,61,85
58,66,54,85
58,66,56,85
59,66,52,85
58,66,50,85
59,66,51,85
59,66,52,85
58,66,52,85
59,66,60,85
55,66,59,85
55,66,59,85
54,66,60,85
54,66,60,85
58,66,59,85
58,66,61,85
63,66,59,85
38,66,64,85
57,66,61,85
48,66,60,85
52,66,58,85
55,66,57,85
47,66,55,85
60,66,55,85
39,66,58,85
60,66,58,85
33,66,53,85
48,66,55,85
41,66,67,85
49,66,67,85
48,66,55,85
54,66,52,85
53,66,53,85
