with,,maxent,
44,65,67,88
47,65,67,88
54,65,67,88
50,65,67,88
33,65,67,88
50,65,67,88
58,65,67,88
62,65,67,88
47,65,67,88
47,65,67,88
51,65,68,88
46,65,68,88
44,65,68,88
56,65,68,88
43,65,68,88
41,65,68,88
39,65,68,88
39,65,68,88
41,65,68,88
57,65,68,88
57,65,68,88
56,65,69,88
57,65,69,88
57,65,69,88
60,65,69,88
38,65,69,88
35,65,69,88
35,65,69,88
36,65,69,88
39,65,69,88
60,65,69,88
60,65,69,88
62,65,69,88
41,65,69,88
63,65,69,88
63,65,69,88
62,65,69,88
64,65,70,88
42,65,70,88
41,65,70,88
41,65,70,88
41,65,70,88
40,65,70,88
39,65,70,88
63,65,70,88
64,65,70,88
65,65,70,88
39,65,70,88
33,65,70,88
64,65,70,88
64,65,70,88
55,65,70,88
21,65,70,88
52,65,70,88
48,65,70,88
62,65,70,88
59,65,70,88
54,65,70,88
54,65,71,88
51,65,71,88
54,65,71,88
63,65,71,88
53,65,71,88
48,65,71,88
50,65,71,88
43,65,71,88
56,65,71,88
46,65,71,88
50,65,71,88
58,65,71,88
58,65,71,88
42,65,71,88
45,65,71,88
45,65,71,88
58,65,72,88
37,65,72,88
54,65,72,88
54,65,72,88
53,65,72,88
51,65,72,88
51,65,72,88
25,65,72,88
62,66,72,88
61,66,72,88
61,66,72,88
62,66,73,88
52,66,73,88
52,66,73,88
55,66,73,88
55,66,73,88
55,66,73,88
55,66,74,88
55,66,74,88
54,66,74,88
53,66,74,88
51,66,74,88
56,66,74,88
56,66,75,88
57,66,75,88
57,66,75,88
57,66,75,88
58,66,75,88
52,66,75,88
52,66,76,88
53,66,76,88
53,66,76,88
54,66,76,88
54,66,76,88
58,66,76,88
53,66,77,88
52,66,48,87
52,66,49,87
51,66,50,87
51,66,51,87
48,66,51,87
56,66,51,87
45,66,51,87
63,66,51,87
43,66,51,87
65,66,52,87
61,66,52,87
59,66,52,87
59,66,52,87
66,66,52,87
54,66,52,87
41,66,54,87
48,66,54,87
40,66,54,87
51,66,54,87
40,66,54,87
65,66,54,87
42,66,55,87
44,66,55,87
41,66,55,87
56,66,55,87
58,66,55,87
50,66,55,87
38,66,56,87
56,66,56,87
55,66,56,87
54,66,56,87
53,66,56,87
52,66,56,87
51,66,57,87
50,66,57,87
49,66,57,87
48,66,57,87
48,66,57,87
42,66,57,87
52,66,57,87
47,66,57,87
43,66,57,87
59,66,57,87
59,66,57,87
61,66,57,87
61,66,57,87
61,66,57,87
52,66,57,87
51,66,57,87
51,66,58,87
62,66,58,87
62,66,58,87
62,66,58,87
52,66,58,87
51,66,58,87
52,66,58,87
51,66,58,87
50,66,58,87
38,66,58,87
39,66,58,87
39,66,58,87
51,66,58,87
51,66,58,87
51,66,58,87
38,66,58,87
53,66,59,87
54,66,59,87
53,66,59,87
53,66,59,87
49,66,59,87
50,66,59,87
49,66,60,87
54,66,60,87
51,66,60,87
35,66,60,87
35,66,60,87
52,66,60,87
51,66,60,87
51,66,60,87
51,66,60,87
36,66,60,87
49,66,60,87
50,66,61,87
49,66,61,87
35,66,61,87
35,66,61,87
54,66,61,87
52,66,61,87
52,66,61,87
52,66,61,87
56,66,61,87
49,66,61,87
50,66,61,87
41,66,61,87
49,66,61,87
39,66,61,87
44,66,61,87
43,66,61,87
40,66,62,87
40,66,62,87
43,66,62,87
50,66,62,87
40,66,62,87
48,66,62,87
47,66,62,87
44,66,62,87
34,66,62,87
34,66,62,87
44,66,62,87
43,66,62,87
54,66,62,87
46,66,62,87
48,66,62,87
54,66,62,87
59,66,63,87
57,66,63,87
52,66,63,87
57,66,63,87
57,66,63,87
54,66,63,87
54,66,63,87
53,66,63,87
55,66,63,87
55,66,63,87
58,66,63,87
53,66,63,87
55,66,63,87
54,66,63,87
53,66,63,87
52,66,63,87
51,66,64,87
50,66,64,87
50,66,64,87
35,66,64,87
37,66,64,87
58,66,64,87
55,66,64,87
49,66,64,87
59,66,64,87
51,66,64,87
45,66,64,87
55,66,64,87
50,66,64,87
58,66,64,87
59,66,64,87
61,66,64,87
61,66,65,87
60,66,65,87
59,66,65,87
60,66,65,87
59,66,65,87
60,66,65,87
60,66,65,87
62,66,65,87
61,66,65,87
61,66,65,87
62,66,65,87
63,66,65,87
62,66,65,87
63,66,65,87
45,66,65,87
44,66,65,87
44,66,66,87
44,66,66,87
45,66,66,87
45,66,66,87
67,66,66,87
66,66,66,87
65,66,66,87
45,66,66,87
43,66,66,87
67,66,66,87
31,66,66,87
30,66,66,87
42,66,66,87
41,66,66,87
40,66,66,87
34,66,66,87
33,66,67,87
33,66,67,87
34,66,67,87
35,66,67,87
59,66,67,87
35,66,67,87
44,66,67,87
58,66,67,87
47,66,67,87
54,66,67,87
57,66,67,87
59,66,67,87
60,66,67,87
60,66,67,87
71,66,67,87
71,66,67,87
42,66,68,87
42,66,68,87
67,66,68,87
67,66,68,87
47,66,68,87
65,66,68,87
47,66,68,87
45,66,68,87
45,66,68,87
66,66,68,87
66,66,68,87
47,66,68,87
53,66,68,87
51,66,68,87
53,66,68,87
34,66,68,87
34,66,69,87
43,66,69,87
43,66,69,87
55,66,69,87
55,66,69,87
56,66,69,87
58,66,69,87
59,66,69,87
59,66,69,87
60,66,69,87
60,66,69,87
59,66,69,87
59,66,69,87
60,66,69,87
62,66,69,87
61,66,69,87
61,66,70,87
62,66,70,87
62,66,70,87
59,66,70,87
59,66,70,87
60,66,70,87
53,66,70,87
63,66,70,87
54,66,70,87
52,66,70,87
52,66,70,87
51,66,70,87
64,66,70,87
64,66,70,87
64,66,70,87
63,66,70,87
63,66,71,87
64,66,71,87
65,66,71,87
65,66,71,87
65,66,71,87
66,66,71,87
65,66,71,87
63,66,71,87
41,66,71,87
40,66,71,87
42,66,71,87
